Component,Property,Variant,State,"Token ""Nickname""",Dark Value,Dark Opacity,Light Value,Light Opacity,Implemented on iOS,Implemented on Android,Implemented on the Component Library
ChecklistCircle,Border,Default,Default,checklistCircleBorder,Gray/300,100%,Gray/600,100%,No,No,Yes
ChecklistCircle,Border,Default,Disabled,checklistCircleBorderDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ChecklistCheckmark,Icon,Default,Default,checklistCheckmarkIcon,Primary/500,100%,Primary/600,100%,No,No,Yes
ChecklistCheckmark,Icon,Default,Disabled,checklistCheckmarkIconDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
Checklist,Border,Default,Default,checklistBorder,Gray/800,100%,Gray/200,100%,No,No,Yes
Checklist,Border,Default,Hover,checklistBorderHover,Primary/800,100%,Primary/200,100%,No,No,Yes
Checklist,Background,Default,Hover,checklistBackgroundHover,NightSky/950,100%,Gray/50,100%,No,No,Yes
Checklist,Background,Default,Completed,checklistBackgroundCompleted,Primary/950,100%,Primary/50,100%,No,No,Yes
Checklist,Border,Default,Completed,checklistBorderCompleted,Primary/800,100%,Primary/200,100%,No,No,Yes
Checklist,Background,Default,Disabled,checklistBackgroundDisabled,Gray/900,100%,Gray/50,100%,No,No,Yes
Checklist,Border,Default,Disabled,checklistBorderDisabled,Gray/800,100%,Gray/200,100%,No,No,Yes
Checklist,Text,Default,Disabled,checklistTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ContentSwitcher,Border,Default,Default,contentSwitcherBorder,NightSky/900,100%,Gray/200,100%,No,No,Yes
ContentSwitcher,Background,Default,Default,contentSwitcherBackground,NightSky/950,100%,Gray/100,100%,No,No,Yes
ContentSwitcherIndicator,Background,Default,Default,contentSwitcherIndicatorBackground,NightSky/800,100%,White,100%,No,No,Yes
ContentSwitcher,Text,Default,Default,contentSwitcherText,Gray/200,100%,Gray/800,100%,No,No,Yes
ContentSwitcher,Text,Default,Disabled,contentSwitcherTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ListItem,Background,Default,Default,listItemBackground,NightSky/950,100%,Gray/50,100%,No,No,Yes
ListItem,Border,Default,Default,listItemBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
ListItemHeadline,Text,Default,Default,listItemHeadlineText,Gray/300,100%,Gray/700,100%,No,No,Yes
ListItemSubhead,Text,Default,Default,listItemSubheadText,Gray/450,100%,Gray/500,100%,No,No,Yes
ListItemTray,Background,Default,Default,listItemTrayBackground,NightSky/975,100%,White,100%,No,No,Yes
ListItemTray,Border,Default,Default,listItemTrayBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
ListItemActionButton,Border,Default,Default,listItemActionButtonBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
Paginator,Text,Default,Default,paginatorText,Gray/800,100%,Gray/200,100%,No,No,Yes
PaginatorButton,Background,Default,Hover,paginatorButtonBackgroundHover,NightSky/900,100%,Gray/100,100%,No,No,Yes
TabsTabBar,Border,Default,Default,tabsTabBarBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
TabsTabBar,Background,Pills,Default,tabsTabBarBackgroundPills,NightSky/900,100%,Gray/50,100%,No,No,Yes
TabsTab,Text,Default,Default,tabsTabText,Gray/450,100%,Gray/500,100%,No,No,Yes
TabsTab,Text,Default,Hover,tabsTabTextHover,Gray/200,100%,Gray/800,100%,No,No,Yes
TabsTab,Text,Default,Disabled,tabsTabTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
TabsTab,Border,Default,Active,tabsTabBorderActive,Primary/400,100%,Primary/700,100%,No,No,Yes
TabsTab,Border,Default,Focus,tabsTabBorderFocus,Primary/700,100%,Primary/300,100%,No,No,Yes
TabsTab,Text,Default,Focus,tabsTabTextFocus,Primary/500,100%,Primary/600,100%,No,No,Yes
TabsTab,Text,Pills,Active,tabsTabTextPillsActive,Gray/200,100%,Gray/800,100%,No,No,Yes
TabsTab,Text,Pills,Focus,tabsTabTextPillsFocus,Primary/200,100%,Primary/800,100%,No,No,Yes
AnimatedNumber,Text,Increase,Default,animatedNumberTextIncrease,Green/300,100%,Green/700,100%,No,No,Yes
AnimatedNumber,Text,Decrease,Default,animatedNumberTextDecrease,Red/300,100%,Red/800,100%,No,No,Yes
AreaChart,AxisTick,Default,Default,areaChartAxisTick,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,AxisLine,Default,Default,areaChartAxisLine,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,AxisLabel,Default,Default,areaChartAxisLabel,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChart,GridLine,Default,Default,areaChartGridLine,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,TooltipCursor,Default,Default,areaChartTooltipCursor,Gray/700,100%,Gray/300,100%,No,No,Yes
AreaChart,ReferenceDotMin,Default,Default,areaChartReferenceDotMin,Red/400,100%,Red/600,100%,No,No,Yes
AreaChart,ReferenceDotMax,Default,Default,areaChartReferenceDotMax,Green/300,100%,Green/700,100%,No,No,Yes
AreaChart,DatasetColor,Primary,Default,areaChartDatasetColorPrimary,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChart,DatasetColor,Gray,Default,areaChartDatasetColorGray,Primary/500,100%,Primary/600,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Default,Default,areaChartDatasetSelectorButtonText,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Default,Hover,areaChartDatasetSelectorButtonTextHover,Gray/350,100%,Gray/600,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Active,Default,areaChartDatasetSelectorButtonTextActive,Primary/400,100%,Primary/700,100%,No,No,Yes
AreaChartTooltip,Background,Default,Default,areaChartTooltipBackground,NightSky/100,100%,Gray/800,100%,No,No,Yes
AreaChartTooltip,Text,Default,Default,areaChartTooltipText,NightSky/900,100%,White,100%,No,No,Yes
HeroPrice,Text,Default,Default,heroPriceText,Gray/300,100%,Gray/700,100%,No,No,Yes
HeroPriceUnit,Text,Default,Default,heroPriceUnitText,Gray/450,100%,Gray/500,100%,No,No,Yes
HeroPricePositiveChange,Text,Default,Default,heroPricePositiveChangeText,Green/300,100%,Green/700,100%,No,No,Yes
HeroPriceNegativeChange,Text,Default,Default,heroPriceNegativeChangeText,Red/300,100%,Red/800,100%,No,No,Yes
ProgressCircleTrack,Background,Default,Default,progressCircleTrackBackground,NightSky/850,100%,Gray/200,100%,No,No,Yes
ProgressCirclePercentage,Background,Primary,Default,progressCirclePercentageBackgroundPrimary,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressCirclePercentage,Background,Primary,Hover,progressCirclePercentageBackgroundPrimaryHover,Primary/400,100%,Primary/700,100%,No,No,Yes
ProgressCirclePercentage,Background,Gray,Default,progressCirclePercentageBackgroundGray,Gray/500,100%,Gray/600,100%,No,No,Yes
ProgressCirclePercentage,Background,Gray,Hover,progressCirclePercentageBackgroundGrayHover,Gray/400,100%,Gray/700,100%,No,No,Yes
ProgressCirclePercentage,Background,Green,Default,progressCirclePercentageBackgroundGreen,Green/400,100%,Green/500,100%,No,No,Yes
ProgressCirclePercentage,Background,Green,Hover,progressCirclePercentageBackgroundGreenHover,Green/300,100%,Green/600,100%,No,No,Yes
ProgressCirclePercentage,Background,Yellow,Default,progressCirclePercentageBackgroundYellow,Yellow/300,100%,Yellow/400,100%,No,No,Yes
ProgressCirclePercentage,Background,Yellow,Hover,progressCirclePercentageBackgroundYellowHover,Yellow/200,100%,Yellow/500,100%,No,No,Yes
ProgressCirclePercentage,Background,Red,Default,progressCirclePercentageBackgroundRed,Red/500,100%,Red/600,100%,No,No,Yes
ProgressCirclePercentage,Background,Red,Hover,progressCirclePercentageBackgroundRedHover,Red/400,100%,Red/700,100%,No,No,Yes
ProgressCircleInput,Border,Default,Default,progressCircleInputBorder,Gray/200,100%,Gray/800,100%,No,No,Yes
ProgressCircleInput,Border,Default,Focus,progressCircleInputBorderFocus,Primary/300,100%,Primary/700,100%,No,No,Yes
TableRow,Background,Odd,Default,tableRowBackgroundOdd,NightSky/950,100%,Gray/50,100%,No,No,Yes
TableRow,Background,Default,Hover,tableRowBackgroundHover,NightSky/900,100%,Gray/100,100%,No,No,Yes
TableRow,Border,Default,Default,tableRowBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
Table,Text,Default,Default,tableText,Gray/200,100%,Gray/800,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Light,Default,progressStepIconOuterBorderLight,NightSky/850,100%,Gray/100,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Light,Default,progressStepIconInnerBorderLight,NightSky/850,100%,Gray/100,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Light,Hover,progressStepIconOuterBorderLightHover,Primary/850,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Light,Hover,progressStepIconInnerBorderLightHover,Primary/850,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Light,Active,progressStepIconOuterBorderLightActive,Primary/850,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Light,Active,progressStepIconInnerBorderLightActive,Primary/900,100%,Primary/50,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Light,ActiveHover,progressStepIconInnerBorderLightActiveHover,Primary/900,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,Background,Light,Complete,progressStepIconBackgroundLightComplete,Primary/900,100%,Primary/50,100%,No,No,Yes
ProgressStepIcon,Background,Light,CompleteHover,progressStepIconBackgroundLightCompleteHover,Primary/850,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,Icon,Light,Complete,progressStepIconIconLightComplete,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Dark,Default,progressStepIconOuterBorderDark,NightSky/800,100%,Gray/200,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Dark,Default,progressStepIconInnerBorderDark,NightSky/900,100%,Gray/100,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Dark,Hover,progressStepIconOuterBorderDarkHover,Primary/800,100%,Primary/200,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Dark,Hover,progressStepIconInnerBorderDarkHover,Primary/800,100%,Primary/200,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Dark,Active,progressStepIconOuterBorderDarkActive,Primary/900,100%,Primary/100,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Dark,Active,progressStepIconInnerBorderDarkActive,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressStepIcon,Background,Dark,Complete,progressStepIconBackgroundDarkComplete,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressStepIcon,Icon,Dark,Complete,progressStepIconIconDarkComplete,NightSky/975,100%,White,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Green,Default,progressStepIconOuterBorderGreen,NightSky/800,100%,Gray/200,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Green,Default,progressStepIconInnerBorderGreen,NightSky/900,100%,Gray/100,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Green,Hover,progressStepIconOuterBorderGreenHover,Green/800,100%,Green/200,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Green,Hover,progressStepIconInnerBorderGreenHover,Green/800,100%,Green/200,100%,No,No,Yes
ProgressStepIcon,OuterBorder,Green,Active,progressStepIconOuterBorderGreenActive,NightSky/900,100%,Gray/100,100%,No,No,Yes
ProgressStepIcon,InnerBorder,Green,Active,progressStepIconInnerBorderGreenActive,Green/400,100%,Green/500,100%,No,No,Yes
ProgressStepIcon,Background,Green,Complete,progressStepIconBackgroundGreenComplete,Green/400,100%,Green/500,100%,No,No,Yes
ProgressStepIcon,Icon,Green,Complete,progressStepIconIconGreenComplete,NightSky/975,100%,White,100%,No,No,Yes
ProgressSteps,Background,Default,Default,progressStepsBackground,NightSky/800,100%,Gray/200,100%,No,No,Yes
ProgressSteps,Background,Default,Active,progressStepsBackgroundActive,Primary/600,100%,Primary/700,100%,No,No,Yes
ProgressSteps,Background,Green,Active,progressStepsBackgroundGreenActive,Green/500,100%,Green/600,100%,No,No,Yes
ProgressSteps,Title,Default,Default,progressStepsTitle,Gray/300,100%,Gray/700,100%,No,No,Yes
ProgressSteps,Subtitle,Default,Default,progressStepsSubtitle,Gray/400,100%,Gray/600,100%,No,No,Yes
ProgressSteps,Title,Default,Active,progressStepsTitleActive,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressSteps,Subtitle,Default,Active,progressStepsSubtitleActive,Primary/500,100%,Primary/600,100%,No,No,Yes
ProgressSteps,Title,Default,Disabled,progressStepsTitleDisabled,Gray/600,100%,Gray/400,100%,No,No,Yes
ProgressSteps,Subtitle,Default,Disabled,progressStepsSubtitleDisabled,Gray/600,100%,Gray/400,100%,No,No,Yes
WizardStepper,StepBorder,Default,Default,wizardStepperStepBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
WizardStepper,StepHeaderBackground,Default,Default,wizardStepperStepHeaderBackground,NightSky/975,100%,White,100%,No,No,Yes
WizardStepper,StepHeaderBackground,Default,Disabled,wizardStepperStepHeaderBackgroundDisabled,NightSky/950,100%,Gray/50,100%,No,No,Yes
WizardStepper,StepHeaderText,Default,Default,wizardStepperStepHeaderText,Gray/400,100%,Gray/600,100%,No,No,Yes
WizardStepper,StepHeaderText,Default,Hover,wizardStepperStepHeaderTextHover,Gray/200,100%,Gray/800,100%,No,No,Yes
WizardStepper,StepHeaderText,Default,Active,wizardStepperStepHeaderTextActive,Primary/500,100%,Primary/600,100%,No,No,Yes
WizardStepper,StepHeaderText,Default,ActiveHover,wizardStepperStepHeaderTextActiveHover,Primary/400,100%,Primary/700,100%,No,No,Yes
ActivityProgress,Text,Default,Default,activityProgressText,Gray/400,100%,Gray/600,100%,No,No,Yes
ActivityProgress,CloseIcon,Default,Default,activityProgressCloseIcon,Gray/600,100%,Gray/400,100%,No,No,Yes
ActivityProgress,CloseIcon,Default,Hover,activityProgressCloseIconHover,Gray/500,100%,Gray/500,100%,No,No,Yes
ActivityProgress,Border,Default,Default,activityProgressBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
Banner,Text,Default,Default,bannerText,Gray/300,100%,Gray/600,100%,No,No,Yes
Banner,Background,Info,Default,bannerBackgroundInfo,NightSky/900,100%,Gray/50,100%,No,No,Yes
Banner,Border,Info,Default,bannerBorderInfo,NightSky/700,100%,Gray/200,100%,No,No,Yes
Banner,Icon,Info,Default,bannerIconInfo,Gray/300,100%,Gray/600,100%,No,No,Yes
Banner,Background,Pending,Default,bannerBackgroundPending,Primary/950,100%,Primary/50,100%,No,No,Yes
Banner,Border,Pending,Default,bannerBorderPending,Primary/800,100%,Primary/600,100%,No,No,Yes
Banner,Icon,Pending,Default,bannerIconPending,Primary/500,100%,Primary/600,100%,No,No,Yes
Banner,Background,Success,Default,bannerBackgroundSuccess,Green/900,100%,Green/25,100%,No,No,Yes
Banner,Border,Success,Default,bannerBorderSuccess,Green/700,100%,Green/600,100%,No,No,Yes
Banner,Icon,Success,Default,bannerIconSuccess,Green/500,100%,Green/600,100%,No,No,Yes
Banner,Background,Tip,Default,bannerBackgroundTip,Primary/950,100%,Primary/50,100%,No,No,Yes
Banner,Border,Tip,Default,bannerBorderTip,Primary/800,100%,Primary/600,100%,No,No,Yes
Banner,Icon,Tip,Default,bannerIconTip,Primary/500,100%,Primary/600,100%,No,No,Yes
Banner,Background,Warning,Default,bannerBackgroundWarning,Yellow/600,100%,Yellow/25,100%,No,No,Yes
Banner,Border,Warning,Default,bannerBorderWarning,Yellow/600,100%,Yellow/600,100%,No,No,Yes
Banner,Icon,Warning,Default,bannerIconWarning,Yellow/400,100%,Yellow/500,100%,No,No,Yes
Banner,Background,Cancelled,Default,bannerBackgroundCancelled,Red/900,100%,Red/50,100%,No,No,Yes
Banner,Border,Cancelled,Default,bannerBorderCancelled,Red/800,100%,Red/600,100%,No,No,Yes
Banner,Icon,Cancelled,Default,bannerIconCancelled,Red/500,100%,Red/600,100%,No,No,Yes
Banner,Background,Error,Default,bannerBackgroundError,Red/800,100%,Red/700,100%,No,No,Yes
Banner,Border,Error,Default,bannerBorderError,Red/800,100%,Red/700,100%,No,No,Yes
Banner,Icon,Error,Default,bannerIconError,White,100%,White,100%,No,No,Yes
Banner,Text,Error,Default,bannerTextError,White,100%,White,100%,No,No,Yes
Loader,Text,Default,Default,loaderText,Gray/400,100%,Gray/600,100%,No,No,Yes
Loader,Border,Default,Default,loaderBorder,Primary/800,100%,Primary/400,100%,No,No,Yes
Loader,Border,Default,Active,loaderBorderActive,Primary/400,100%,Primary/800,100%,No,No,Yes
Toast,Background,Default,Default,toastBackground,NightSky/900,100%,White,100%,No,No,Yes
Toast,Title,Default,Default,toastTitle,Gray/200,100%,Gray/800,100%,No,No,Yes
Toast,Text,Default,Default,toastText,Gray/400,100%,Gray/600,100%,No,No,Yes
Toast,BorderAndIcon,Success,Default,toastBorderAndIconSuccess,Green/400,100%,Green/500,100%,No,No,Yes
Toast,BorderAndIcon,Error,Default,toastBorderAndIconError,Red/400,100%,Red/500,100%,No,No,Yes
Toast,BorderAndIcon,Info,Default,toastBorderAndIconInfo,Primary/600,100%,Primary/700,100%,No,No,Yes
Toast,BorderAndIcon,Warning,Default,toastBorderAndIconWarning,Yellow/400,100%,Yellow/500,100%,No,No,Yes
Tooltip,Background,Default,Default,tooltipBackground,Gray/750,100%,White,100%,No,No,Yes
Tooltip,Text,Default,Default,tooltipText,White,100%,Gray/750,100%,No,No,Yes
AddressString,Text,Default,Disabled,addressStringTextDisabled,Gray/600,100%,Gray/400,100%,No,No,Yes
Avatar,Background,LightGray,Default,avatarBackgroundLightGray,Gray/100,100%,Gray/100,100%,No,No,Yes
Avatar,Text,LightGray,Default,avatarTextLightGray,Gray/700,100%,Gray/700,100%,No,No,Yes
Avatar,Background,DarkBlue,Default,avatarBackgroundDarkBlue,Primary/700,100%,Primary/900,100%,No,No,Yes
Avatar,Text,DarkBlue,Default,avatarTextDarkBlue,White,100%,White,100%,No,No,Yes
Avatar,Background,Blue,Default,avatarBackgroundBlue,Primary/500,100%,Primary/700,100%,No,No,Yes
Avatar,Text,Blue,Default,avatarTextBlue,White,100%,White,100%,No,No,Yes
Avatar,Background,Gray,Default,avatarBackgroundGray,Gray/500,100%,Gray/500,100%,No,No,Yes
Avatar,Text,Gray,Default,avatarTextGray,White,100%,White,100%,No,No,Yes
Avatar,Background,Green,Default,avatarBackgroundGreen,Green/700,100%,Green/700,100%,No,No,Yes
Avatar,Text,Green,Default,avatarTextGreen,White,100%,White,100%,No,No,Yes
Avatar,Background,Orange,Default,avatarBackgroundOrange,Yellow/600,100%,Yellow/600,100%,No,No,Yes
Avatar,Text,Orange,Default,avatarTextOrange,White,100%,White,100%,No,No,Yes
Avatar,Border,Default,Empty,avatarBorderEmpty,NightSky/300,100%,Gray/800,100%,No,No,Yes
Avatar,Text,Default,Empty,avatarTextEmpty,NightSky/300,100%,Gray/800,100%,No,No,Yes
AvatarStack,Outline,Default,Default,avatarStackOutline,NightSky/975,100%,White,100%,No,No,Yes
Chip,Background,Info,Default,chipBackgroundInfo,Gray/750,100%,Gray/100,100%,No,No,Yes
Chip,Text,Info,Default,chipTextInfo,Gray/300,100%,Gray/500,100%,No,No,Yes
Chip,Background,Warning,Default,chipBackgroundWarning,Yellow/600,25%,Yellow/50,100%,No,No,Yes
Chip,Text,Warning,Default,chipTextWarning,Yellow/300,100%,Yellow/500,100%,No,No,Yes
Chip,Background,Error,Default,chipBackgroundError,Red/800,50%,Red/100,100%,No,No,Yes
Chip,Text,Error,Default,chipTextError,Red/200,100%,Red/700,100%,No,No,Yes
Chip,Background,Success,Default,chipBackgroundSuccess,Green/800,50%,Green/50,100%,No,No,Yes
Chip,Text,Success,Default,chipTextSuccess,Green/200,100%,Green/600,100%,No,No,Yes
Chip,Background,Primary,Default,chipBackgroundPrimary,Primary/600,33%,Primary/100,100%,No,No,Yes
Chip,Text,Primary,Default,chipTextPrimary,Primary/300,100%,Primary/700,100%,No,No,Yes
CopyOnClick,Icon,Default,Default,copyOnClickIcon,Primary/500,100%,Primary/600,100%,No,No,Yes
CopyOnClick,Icon,Default,Copied,copyOnClickIconCopied,Gray/200,100%,Gray/800,100%,No,No,Yes
CustomBorder,Border,Default,Default,customBorderBorder,NightSky/600,100%,Gray/400,100%,No,No,Yes
PricingTable,Title,Default,Default,pricingTableTitle,Gray/100,100%,Gray/900,100%,No,No,Yes
PricingTable,Text,Default,Default,pricingTableText,Gray/400,100%,Gray/600,100%,No,No,Yes
PricingTable,Accent,Default,Default,pricingTableAccent,Primary/500,100%,Primary/600,100%,No,No,Yes
PricingTable,Border,Default,Default,pricingTableBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
Receipt,Background,Default,Default,receiptBackground,NightSky/900,100%,Gray/100,100%,No,No,Yes
Receipt,Text,Default,Default,receiptText,Gray/200,100%,Gray/800,100%,No,No,Yes
Receipt,Subtitle,Default,Default,receiptSubtitle,Gray/450,100%,Gray/500,100%,No,No,Yes
Receipt,Divider,Default,Default,receiptDivider,NightSky/700,100%,Gray/300,100%,No,No,Yes
Signature,Border,Default,Default,signatureBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
Signature,Text,Default,Default,signatureText,Gray/200,100%,Gray/800,100%,No,No,Yes